id,Name,titleProject_id,class,score,login,password
30,Петрикеев Станислав Яковлевич,14,7и,4,Петрикеев_СЯ,Cm5O3i8z
31,Моторыгин Илья Георгиевич,238,10и,5,Моторыгин_ИГ,f8gSJ4y7
32,Рыков Тарас Павлович,174,10и,5,Рыков_ТП,siu9VgIf
33,Иончикова Елизавета Егоровна,169,8д,5,Иончикова_ЕЕ,xmInMVW4
34,Смолькина Алиса Егоровна,441,7г,5,Смолькина_АЕ,n3Xs6X44
35,Оболенин Герасим Павлович,472,7и,4,Оболенин_ГП,OkwbZa2u
36,Трощинский Георгий Борисович,67,9д,3,Трощинский_ГБ,xo2CRgh4
37,Поддубская Лиза Игоревна,496,10а,4,Поддубская_ЛИ,Ahk8QFTv
38,Телькова Валерия Олеговна,335,7х,4,Телькова_ВО,QkbUpb4f
39,Чигварина Александра Алексеевна,428,10б,2,Чигварина_АА,Arbr2Odd
40,Киреевский Артур Игоревич,119,7в,3,Киреевский_АИ,OJ9NIgSY
41,Шумейкин Роман Павлович,420,8в,5,Шумейкин_РП,mNHcH6W7
42,Трушинов Максим Алексиевич,82,8и,4,Трушинов_МА,P5eDmXBm
43,Голюков Денис Сергеевич,62,11б,4,Голюков_ДС,82GoyH8J
44,Хлиманкова Надежда Валерьевна,461,10б,3,Хлиманкова_НВ,Rgf8udVz
45,Кулаженков Алексей Олегович,367,10в,2,Кулаженков_АО,vPjT2Lve
46,Бутукин Владимир Адамович,221,7х,5,Бутукин_ВА,LujGEr1R
47,Поддуев Леонид Олегович,149,9х,4,Поддуев_ЛО,BrkRrdk1
48,Ревцев Василий Павлович,360,9х,5,Ревцев_ВП,0v1TNT1s
49,Старокожев Артём Юрьевич,46,8д,3,Старокожев_АЮ,wt0tGAjY
50,Светошев Максим Михаилович,321,10х,2,Светошев_ММ,M2EsNg5G
51,Старынина Кристина Федоровна,266,9д,3,Старынина_КФ,JNbuRx4I
52,Востров Дмитрий Денисович,282,9г,3,Востров_ДД,38G1pICM
53,Бураханова Анастасия Леонидовна,16,8г,2,Бураханова_АЛ,013AefJQ
54,Понизов Виктор Кириллович,214,11и,5,Понизов_ВК,L3Q0e9PU
55,Суздалев Валерий Алексеевич,66,11т,5,Суздалев_ВА,LYEOeX4A
56,Колендин Дмитрий Алексеевич,153,10в,4,Колендин_ДА,xI6fx06I
57,Сулькова Екатерина Андреевна,325,8и,4,Сулькова_ЕА,7alhk41F
58,Аржевитова Надежда Федоровна,242,10в,2,Аржевитова_НФ,uE1NaSUL
59,Крассов Валерий Олегович,201,8х,5,Крассов_ВО,Jjyrs0Zf
60,Сонураева Инна Андреевна,450,9т,3,Сонураева_ИА,MlQpLN3c
61,Пашин Роман Вадимович,204,10д,2,Пашин_РВ,FDoZdn8T
62,Фичкина Евгения Федоровна,29,11д,3,Фичкина_ЕФ,t7dnjDLZ
63,Свилин Олег Виталиевич,123,8в,2,Свилин_ОВ,lv9vv4xS
64,Рогоцкий Андрей Адамович,142,9в,2,Рогоцкий_АА,rIJzEQj7
65,Ахантьев Игорь Валериевич,80,10д,5,Ахантьев_ИВ,YZ7k1VBc
66,Сочиникова Ксения Кирилловна,100,10д,2,Сочиникова_КК,o6PaY4ZT
67,Остюков Артур Романович,329,11и,3,Остюков_АР,OvsW54ik
68,Брюкина Оксана Викторовна,98,8в,5,Брюкина_ОВ,qcBligc4
69,Кузовенков Игорь Юрьевич,322,9г,None,Кузовенков_ИЮ,LZ8TJ9lJ
70,Калухов Тарас Иванович,207,11а,3,Калухов_ТИ,g4itFPAw
71,Батыров Пётр Виталиевич,227,7и,3,Батыров_ПВ,We3mzD8i
72,Озрина Катерина Валерьевна,147,10а,4,Озрина_КВ,lQ80uV09
73,Декалова Полина Леонидовна,470,11д,5,Декалова_ПЛ,9a5Ow7CU
74,Лосицкий Владимир Кириллович,369,9т,5,Лосицкий_ВК,PP5OfPci
75,Магнусов Пётр Максимович,437,7и,5,Магнусов_ПМ,e5Cy3nEK
76,Лавренков Михаил Василиевич,188,9б,2,Лавренков_МВ,AFp7238U
77,Шушкалова Вероника Алексеевна,411,8т,5,Шушкалова_ВА,C5QbiQYE
78,Бороданова Маргарита Дмитриевна,118,7г,5,Бороданова_МД,cmhx2jBV
79,Циркина Виолетта Федоровна,231,9г,2,Циркина_ВФ,opA3Fs5x
80,Болохина Екатерина Андреевна,194,11д,3,Болохина_ЕА,qgJrGlI1
81,Чукалова Дарья Валерьевна,20,10г,4,Чукалова_ДВ,B55Sa4oE
82,Беловолов Степан Петрович,222,9д,2,Беловолов_СП,JcqaTD65
83,Зудейкина Вероника Ивановна,166,8и,3,Зудейкина_ВИ,7Ol3fLSc
84,Макунова Мария Борисовна,47,9в,5,Макунова_МБ,vpD7w5bt
85,Верзанский Геннадий Андреевич,497,7д,5,Верзанский_ГА,9KjgIu8T
86,Алтубин Ярослав Леонидович,414,10г,5,Алтубин_ЯЛ,X4AnqVRs
87,Аузин Игорь Алексиевич,435,8х,5,Аузин_ИА,TN9jgq3z
88,Калыгин Степан Тимофеевич,353,8и,2,Калыгин_СТ,WXiU3eKL
89,Дурныгина Полина Игоревна,72,8и,2,Дурныгина_ПИ,Bv8M8eOh
90,Антюфеева Александра Вадимовна,347,8и,2,Антюфеева_АВ,b6gMM8xU
91,Лощинский Борис Романович,210,10б,3,Лощинский_БР,MhsVkjV4
92,Ходорков Евгений Виталиевич,344,9г,5,Ходорков_ЕВ,9q0ktBKs
93,Кафорин Федор Данилович,427,10д,3,Кафорин_ФД,Q9Scc4rG
94,Косынская Алиса Дмитриевна,40,9в,3,Косынская_АД,zwL90ya0
95,Беремцев Артём Антонович,434,11т,2,Беремцев_АА,0VwcxEhh
96,Влянская Мария Андреевна,490,7т,4,Влянская_МА,SMFab2WA
97,Мыгеева Лиза Василевна,280,8в,5,Мыгеева_ЛВ,EU7u2V5Q
98,Акутникова Мария Алексеевна,173,11в,2,Акутникова_МА,l9duvGpM
99,Карябкин Константин Максимович,89,7и,2,Карябкин_КМ,5zd1lSJv
100,Прилепина Яна Максимовна,30,10в,5,Прилепина_ЯМ,095LAqwF
101,Ведищев Никита Георгиевич,365,7и,5,Ведищев_НГ,D3BQnNS2
102,Самчева Вероника Борисовна,287,10г,3,Самчева_ВБ,5T9ALUMy
103,Пирцхалова Карина Леонидовна,452,10г,5,Пирцхалова_КЛ,QSEep7sK
104,Павлочев Денис Борисович,432,11д,5,Павлочев_ДБ,j5niLUh5
105,Арашкова Екатерина Евгеньевна,356,8х,None,Арашкова_ЕЕ,xyZGUq0b
106,Байсарова Людмила Василевна,215,11и,2,Байсарова_ЛВ,A4lI2Tts
107,Кудекина Зинаида Игоревна,250,10и,3,Кудекина_ЗИ,s7hoZis2
108,Дерналов Виталий Викторович,1,9г,4,Дерналов_ВВ,3nM6sENZ
109,Сазинова Галина Романовна,61,9и,3,Сазинова_ГР,sc6siEQg
110,Остаченова Марина Эдуардовна,229,9т,5,Остаченова_МЭ,jX37sizC
111,Битюкова Яна Егоровна,488,9и,4,Битюкова_ЯЕ,OA3s2Nwy
112,Иваницкий Константин Борисович,232,8д,5,Иваницкий_КБ,7Xg5MOF6
113,Белянский Владислав Игоревич,74,11б,5,Белянский_ВИ,6N73zQkH
114,Баранкин Артём Алексеевич,382,9т,2,Баранкин_АА,PyVW9HaU
115,Шкабанова Софья Вадимовна,499,9х,4,Шкабанова_СВ,k8SxbIme
116,Полозлов Денис Адамович,155,8т,3,Полозлов_ДА,OSryp38s
117,Жунина Светлана Михайловна,162,8в,3,Жунина_СМ,8caLxo6t
118,Пантыкин Борис Игоревич,245,9х,2,Пантыкин_БИ,qP2v7TUh
119,Доутова Марина Богдановна,189,11х,2,Доутова_МБ,mnLc3pHl
120,Трещалова Яна Андреевна,330,8б,3,Трещалова_ЯА,fa3AcPpT
121,Ивашечкин Александр Данилович,390,10т,4,Ивашечкин_АД,llKl0Knm
122,Мазьянова Инна Богдановна,416,11в,4,Мазьянова_ИБ,Ol9aACFe
123,Корогев Николай Евгеньевич,184,8б,5,Корогев_НЕ,RAGX0hr2
124,Заидова Галина Максимовна,88,9т,4,Заидова_ГМ,NTME3zd7
125,Рамхин Кирилл Алексиевич,459,9х,4,Рамхин_КА,xpQdd3xx
126,Кизбабаев Эдуард Фёдорович,415,11т,2,Кизбабаев_ЭФ,0jCjyVsB
127,Соурчаков Ярослав Валериевич,268,8б,2,Соурчаков_ЯВ,bsBQNYI7
128,Мотяшева Алена Михайловна,404,7т,2,Мотяшева_АМ,5yPDfzFY
129,Горшкова Наталия Яковлевна,340,11а,2,Горшкова_НЯ,dKSzT4yh
130,Зябрицкий Игорь Виталиевич,332,7а,5,Зябрицкий_ИВ,vfgDV3Sg
131,Шельдяев Игорь Юриевич,97,7д,5,Шельдяев_ИЮ,tkiz6aUt
132,Шмелькин Максим Викторович,483,9т,5,Шмелькин_МВ,RU9oUEqz
133,Жалкин Алексей Алексеевич,43,7а,3,Жалкин_АА,1bln08Dp
134,Худасов Денис Максимович,70,10д,2,Худасов_ДМ,yEh2PZ8z
135,Швичкова Наталья Эдуардовна,398,7г,4,Швичкова_НЭ,rqo8P698
136,Едская Жанна Валерьевна,436,11в,4,Едская_ЖВ,fWf6wcQ8
137,Поморзина Полина Евгеньевна,122,7д,4,Поморзина_ПЕ,JPXOxw19
138,Будачева Кира Олеговна,55,11х,4,Будачева_КО,zwzRlk4u
139,Молкаев Василий Валериевич,216,8д,2,Молкаев_ВВ,mF6y3z1z
140,Яцынин Константин Тимофеевич,285,7г,2,Яцынин_КТ,L1UluErN
141,Маховиков Василий Петрович,391,7х,4,Маховиков_ВП,7kScubVU
142,Шаметова Евгения Вадимовна,463,7а,2,Шаметова_ЕВ,9ydFh2r0
143,Законнова Жанна Евгеньевна,442,11и,None,Законнова_ЖЕ,yh1NI98C
144,Перчихин Аркадий Тимофеевич,164,10т,3,Перчихин_АТ,Dl1Ab5Kg
145,Бурдасова Ксения Игоревна,203,9а,3,Бурдасова_КИ,O6S5Ryd7
146,Киссин Степан Иванович,251,7х,5,Киссин_СИ,eQw6dNLR
147,Вапилина Мария Егоровна,77,7д,2,Вапилина_МЕ,f2r2ZKH8
148,Сигутина Дарья Федоровна,458,7б,2,Сигутина_ДФ,sk8nQjwL
149,Сошьяков Альберт Фёдорович,17,7т,4,Сошьяков_АФ,BsPykp1Y
150,Лугахина Клара Вадимовна,419,8в,4,Лугахина_КВ,6MFYG9uE
151,Логецкий Анатолий Виталиевич,372,11б,4,Логецкий_АВ,P7EfeXQt
152,Ковайкова Юлия Егоровна,75,10г,2,Ковайкова_ЮЕ,0SD1ZcIn
153,Вермутский Валерий Петрович,447,9и,5,Вермутский_ВП,Ualg7Lmg
154,Россомахов Олег Юриевич,56,8в,2,Россомахов_ОЮ,6jVGif0a
155,Циплакова Екатерина Егоровна,471,9б,5,Циплакова_ЕЕ,zR0TX9jc
156,Квятцева Алла Никитична,138,11в,2,Квятцева_АН,zkIfAE32
157,Выхухолева Лариса Василевна,384,8б,5,Выхухолева_ЛВ,K65kvOle
158,Целохов Андрей Вадимович,433,8и,5,Целохов_АВ,qK289LOL
159,Бендин Иван Яковлевич,71,8и,4,Бендин_ИЯ,pJye1HHU
160,Лазученков Василий Алексеевич,381,7х,2,Лазученков_ВА,TiLK33PY
161,Скоропухов Михаил Василиевич,69,10и,3,Скоропухов_МВ,hsepm6Nj
162,Мухонкин Тарас Романович,126,9и,4,Мухонкин_ТР,mPWnx6Yb
163,Камерцев Владимир Кириллович,303,7а,3,Камерцев_ВК,j5RntUzr
164,Сандрыкина Анна Олеговна,324,10т,2,Сандрыкина_АО,5IUjB4kZ
165,Недбайлов Алексей Денисович,15,7т,2,Недбайлов_АД,Gpgwle1p
166,Серпков Ярослав Георгиевич,380,10б,4,Серпков_ЯГ,NApDH3tt
167,Хатшуклов Аркадий Николаевич,42,11т,4,Хатшуклов_АН,sN1x7XOU
168,Литвалиева Алиса Егоровна,10,11и,3,Литвалиева_АЕ,L0UOWAtI
169,Енесина Лиза Валерьевна,293,9б,5,Енесина_ЛВ,6KQAWge7
170,Пикальков Эдуард Алексиевич,21,8д,5,Пикальков_ЭА,6paH7J97
171,Сачинский Валентин Кириллович,125,10т,2,Сачинский_ВК,lyrG0MSu
172,Тарзанова Евгения Аркадьевна,96,9д,2,Тарзанова_ЕА,04j05zVA
173,Лапундин Юрий Игоревич,267,8и,5,Лапундин_ЮИ,E2rGClol
174,Личева Лиза Михайловна,453,9б,3,Личева_ЛМ,vFV3esmV
175,Смароверов Яков Борисович,131,11в,4,Смароверов_ЯБ,dkCIzr46
176,Вереина Алла Василевна,295,10и,3,Вереина_АВ,PyuKDwF1
177,Погиблева Дарья Леонидовна,283,9в,5,Погиблева_ДЛ,VkPEeY1F
178,Байнова Анастасия Вадимовна,363,7б,3,Байнова_АВ,zxaW9Kmh
179,Шиловский Вячеслав Максимович,438,9и,4,Шиловский_ВМ,mQlXkmn0
180,Сыждиков Пётр Василиевич,494,11х,5,Сыждиков_ПВ,YZCF1Ljc
181,Каценова Алёна Эдуардовна,165,11т,2,Каценова_АЭ,cp9IBETQ
182,Мужицких Ева Олеговна,348,8х,3,Мужицких_ЕО,dEhdhoP0
183,Плеснецов Степан Юрьевич,22,10а,2,Плеснецов_СЮ,6TAPNHef
184,Игумнова Алёна Сергеевна,114,9д,4,Игумнова_АС,ZGUJfbY3
185,Хадаров Владимир Валериевич,278,11т,5,Хадаров_ВВ,UYyT9cyL
186,Ступакова Кира Ивановна,421,8и,3,Ступакова_КИ,9kZL8I69
187,Шоленинов Федор Максимович,286,11т,4,Шоленинов_ФМ,RX1DqqnF
188,Гундаров Руслан Николаевич,158,9д,4,Гундаров_РН,dAJCihx1
189,Гречишева Марина Андреевна,464,7д,2,Гречишева_МА,18cfyS5a
190,Утилова Алена Андреевна,253,11д,3,Утилова_АА,7bG9Ta5z
191,Роткичева Алиса Максимовна,410,10а,4,Роткичева_АМ,3RAFH1Ym
192,Колтышева Марина Вадимовна,87,11г,4,Колтышева_МВ,bs5cLFYT
193,Гурычева Лариса Валерьевна,489,9б,2,Гурычева_ЛВ,VdYAmP1A
194,Горцева Кристина Никитична,246,8и,4,Горцева_КН,mIFzU0AJ
195,Кутурин Геннадий Денисович,197,9в,2,Кутурин_ГД,T1rXENDC
196,Стефанков Яков Евгеньевич,318,10г,3,Стефанков_ЯЕ,ILrI9QRX
197,Множина Людмила Василевна,90,8б,2,Множина_ЛВ,Balaeiv9
198,Семисалов Георгий Иванович,316,9в,3,Семисалов_ГИ,gb9qG9bA
199,Рогалов Альберт Валериевич,327,9б,2,Рогалов_АВ,SAJj7onF
200,Черетаева Анастасия Олеговна,341,9б,2,Черетаева_АО,oyw94XUT
201,Радоминова Любовь Игоревна,25,9и,5,Радоминова_ЛИ,TYsQ5tnu
202,Шувырина Лиза Андреевна,395,9а,5,Шувырина_ЛА,knaP9NP4
203,Калиженков Семён Алексеевич,401,11а,4,Калиженков_СА,HjnNSzo5
204,Старокашин Константин Петрович,309,10а,3,Старокашин_КП,J4cnKPIW
205,Малтоцов Аркадий Яковлевич,218,8а,3,Малтоцов_АЯ,Kf27s0xR
206,Кузеванова Ева Егоровна,116,7д,2,Кузеванова_ЕЕ,2ZsXKlrF
207,Нурулина Алёна Егоровна,284,9х,2,Нурулина_АЕ,cgyJUb6l
208,Лератов Герасим Сергеевич,374,10а,4,Лератов_ГС,b8MEy3ah
209,Людин Руслан Аркадиевич,498,7и,3,Людин_РА,99mDHAFM
210,Пурин Виктор Данилович,154,8и,5,Пурин_ВД,0LVPxGpf
211,Лютов Виктор Юрьевич,288,11г,2,Лютов_ВЮ,c6sBYeDA
212,Марюшкина Яна Федоровна,345,10д,5,Марюшкина_ЯФ,1Q1ovU7I
213,Томилова Кристина Михайловна,492,11б,3,Томилова_КМ,9XWNKh62
214,Дистерев Валерий Валериевич,24,7г,3,Дистерев_ВВ,M6TfL9FY
215,Дочкин Геннадий Алексиевич,52,11и,5,Дочкин_ГА,cUVuUZ8m
216,Иняхин Руслан Сергеевич,234,7и,5,Иняхин_РС,LbI25wwE
217,Знайкова Раиса Егоровна,148,11х,3,Знайкова_РЕ,XNCb9TGX
218,Кашавцев Аркадий Леонидович,58,7а,4,Кашавцев_АЛ,ZAlPPF17
219,Пятернина Кристина Андреевна,445,7и,2,Пятернина_КА,QZ9pjoKM
220,Гусеева Карина Викторовна,263,9и,2,Гусеева_КВ,6LqTkWpz
221,Кастева Яна Сергеевна,108,7и,2,Кастева_ЯС,7UKuXVjt
222,Гришанин Тарас Павлович,113,10т,2,Гришанин_ТП,kcxsyXd6
223,Грамоткин Илья Викторович,195,8д,5,Грамоткин_ИВ,OuB2sbOi
224,Мелисин Геннадий Василиевич,465,10г,2,Мелисин_ГВ,4uPc8WmS
225,Цинина Светлана Яковлевна,105,11г,5,Цинина_СЯ,9C0X7dUb
226,Петов Георгий Адамович,57,9а,2,Петов_ГА,66pHpN4w
227,Реева Валентина Максимовна,146,11и,5,Реева_ВМ,6XpxTA5b
228,Слесивых Мария Аркадьевна,35,7и,5,Слесивых_МА,O5BVFPvt
229,Афтаева Полина Ивановна,193,10д,5,Афтаева_ПИ,0XAIc6QO
230,Кривицкий Валентин Виталиевич,208,8х,5,Кривицкий_ВВ,szIjgh5L
231,Чубатов Константин Леонидович,279,11а,4,Чубатов_КЛ,cM6gy7ts
232,Партенков Геннадий Павлович,418,8х,3,Партенков_ГП,n525R0Ag
233,Черушев Григорий Борисович,84,7г,4,Черушев_ГБ,hCsBY6uc
234,Тютекин Георгий Тимофеевич,262,7а,2,Тютекин_ГТ,E96e21qA
235,Янкевский Вячеслав Адамович,167,11г,4,Янкевский_ВА,pCYw1RB8
236,Сухручкина Клавдия Аркадьевна,177,7в,4,Сухручкина_КА,L7zY8j00
237,Конофалова Клара Петровна,95,11д,5,Конофалова_КП,BUUAOU6j
238,Лигасов Михаил Павлович,491,11г,4,Лигасов_МП,5ccOQHT2
239,Писарьков Альберт Игоревич,313,8в,4,Писарьков_АИ,QyckxF7v
240,Варов Кирилл Иванович,28,8а,5,Варов_КИ,5zwJgtKA
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,ckLkfc9M
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,wX6d98Lu
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,o8hTvwWM
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,xgXx4Xqw
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,2xAkG9Be
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,5Lz5Wxtz
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,rU3i6bzH
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,Kj6wpowN
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,S01IiyN2
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,fYKU4SiV
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,Al4rGiPw
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,u3x60JTu
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,bVsnXiQ4
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,tp9pGZAe
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,pUJqn11D
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,ORnE3syu
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,WKpa5OL6
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,N3gwMulo
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,MiM1Cvyi
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,0EgOCAoU
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,55OTMNEz
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,OYnPKJO9
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,Mo0tJwum
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,WXShxEz4
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,NdiLY1U6
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,k23poZlv
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,v7FIBcYw
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,S7BOfKsK
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,9e0d3KGd
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,I0xgfXNA
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,XFU7vvKr
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,6GMEZbNv
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,uQ55eb2u
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,27hDuCeN
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,9wPLsnx0
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,XLErcJv1
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,btWyA4dv
278,Углова Галина Романовна,260,9г,3,Углова_ГР,sZ6QM4m2
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,RB96gECL
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,iY5SuUoy
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,2gp0EOod
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,63Ydkzgo
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,5L5CMfyR
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,xBYzC7N4
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,LSX6Fs5g
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,x1PBn3yK
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,A3dmnXmA
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,x9Pd4BRv
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,y1jBfSLH
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,Iag5iSK5
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,aoC3JL9n
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,6alFzwnV
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,I3GzGjJq
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,Q3VFosJk
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,QX8JGBTq
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,keoP1ESz
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,m8msEUEP
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,l33Xr9fm
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,VxtGn11c
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,oivF3DwD
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,y7vRKFSG
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,YMyj3tDL
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,YfG3RXax
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,nKeWlf3g
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,fg1KY1pJ
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,hkPI8xem
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,p04klLdF
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,dOg170ou
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,9HKBlCcL
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,FKJnP6XG
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,8SxQdYX3
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,4pylWNoP
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,8XWrNYZw
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,cANPRGH6
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,h4K5jyHv
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,LDgiFLE9
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,15ofnFS2
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,djlU6e8A
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,esuclLv7
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,oOuZZK8L
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,DVSj23hE
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,YnJI4oya
